Differential gene expression between Xiloá (positive log2FoldChange) and Managua (negative log2FoldChange);;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation
MSTRG.16363;599.849.722.446.458;241.258.866.853.916;376.348.187.508.991;641.052.288.442.739;1,45E+04;6,87E+07;Protein mono-ADP-ribosyltransferase PARP9 {ECO:0000305}
MSTRG.48070;51.520.485.935.616;-234.950.899.448.521;0.533354558445311;-44.051.540.523.697;1,06E+08;0.00782310652086332;Complement component C6
